video,frame,left-x,left-y,right-x,right-y,nose-x,nose-y
98,0,149,181,170,175,161,62
98,1,149,181,170,175,161,62
98,2,149,181,170,175,161,62
98,3,149,181,170,175,161,62
98,4,149,181,170,175,161,62
98,5,149,181,170,175,161,62
98,6,149,181,170,175,161,62
98,7,149,181,170,175,161,62
98,8,149,181,170,175,161,62
98,9,149,181,170,175,161,62
98,10,149,181,170,175,161,62
98,11,149,181,169,173,161,62
98,12,149,181,167,165,161,62
98,13,149,181,166,160,161,62
98,14,149,181,164,149,161,62
98,15,149,181,158,133,161,62
98,16,149,181,153,119,161,62
98,17,149,181,140,109,161,62
98,18,149,181,126,100,163,58
98,19,149,181,114,94,163,58
98,20,149,181,110,89,163,58
98,21,149,181,110,89,162,56
98,22,149,181,115,86,162,56
98,23,149,181,124,83,162,56
98,24,149,181,127,84,162,56
98,25,149,181,132,83,162,54
98,26,149,181,135,82,162,54
98,27,149,181,138,79,162,54
98,28,149,181,141,75,162,54
98,29,149,181,141,75,162,54
98,30,149,181,141,75,162,54
98,31,149,181,141,75,162,54
98,32,149,181,141,75,162,54
98,33,149,181,141,75,162,54
98,34,149,181,141,75,162,54
98,35,155,172,141,75,162,54
98,36,151,170,141,75,162,54
98,37,149,181,141,75,162,54
98,38,162,156,141,75,162,54
98,39,167,146,141,75,162,54
98,40,177,136,140,85,162,54
98,41,177,136,139,88,162,54
98,42,177,120,141,97,162,54
98,43,174,113,149,103,162,54
98,44,174,113,157,103,162,54
98,45,162,116,169,104,162,54
98,46,158,119,165,100,162,54
98,47,156,122,159,96,162,54
98,48,159,121,152,85,162,54
98,49,166,115,142,75,162,54
98,50,178,106,137,75,162,54
98,51,196,94,137,76,165,54
98,52,206,90,141,87,165,54
98,53,206,90,145,91,165,54
98,54,206,90,145,91,165,54
98,55,198,92,145,91,165,54
98,56,197,98,145,91,165,54
98,57,194,99,145,91,165,54
98,58,194,99,145,91,162,55
98,59,195,99,141,88,162,55
98,60,195,99,141,88,162,55
98,61,195,99,141,88,162,55
98,62,197,94,145,86,162,55
98,63,194,92,146,89,162,55
98,64,194,92,146,89,161,57
98,65,194,92,146,89,161,57
98,66,186,91,149,91,161,57
98,67,182,94,154,95,161,57
98,68,179,103,151,101,161,57
98,69,183,110,154,107,161,57
98,70,183,110,154,107,161,57
98,71,179,118,156,114,159,57
98,72,179,118,156,114,159,57
98,73,181,119,153,117,159,57
98,74,181,119,153,117,159,57
98,75,181,119,153,117,159,57
98,76,181,119,153,117,159,57
98,77,181,119,153,117,159,57
98,78,180,125,157,121,159,57
98,79,180,125,157,121,159,57
98,80,180,125,157,121,159,57
98,81,180,131,156,126,159,57
98,82,179,138,152,127,159,57
98,83,180,149,152,127,159,57
98,84,169,156,152,134,159,57
98,85,163,162,155,140,159,57
98,86,156,173,156,148,159,57
98,87,152,176,160,151,159,57
98,88,149,182,165,158,159,57
98,89,149,182,168,162,159,57
98,90,149,182,170,170,159,57
98,91,149,182,170,170,159,57
98,92,149,182,170,170,159,57
98,93,149,182,170,170,159,57
98,94,149,182,170,170,159,57
98,95,149,182,170,170,159,57
98,96,149,182,170,170,159,57
98,97,149,182,170,170,159,57
98,98,149,182,170,170,159,57
99,0,144,181,171,174,161,57
99,1,144,181,171,174,161,57
99,2,144,181,171,174,161,57
