video,speaker,word,startframe,endframe
1,woman-1,JOHN,8,17
1,woman-1,WRITE,22,50
1,woman-1,HOMEWORK,51,77
3,woman-2,IX-1P,4,11
3,woman-2,SEE,12,20
3,woman-2,JOHN,20,31
3,woman-2,YESTERDAY,31,40
3,woman-2,IX,44,52
4,woman-1,JOHN,2,13
4,woman-1,IX-1P,13,18
4,woman-1,SEE,19,27
4,woman-1,IX,28,35
4,woman-1,YESTERDAY,36,47
5,woman-2,LOVE,12,21
5,woman-2,MARY,22,41
5,woman-2,JOHN,42,63
6,woman-2,LOVE,9,24
6,woman-2,MARY,25,39
6,woman-2,JOHN,37,50
6,woman-2,IX,51,54
8,man-1,JOHN,10,25
8,man-1,CAN,28,30
8,man-1,GO,33,41
8,man-1,CAN,50,56
9,woman-2,JOHN,21,29
9,woman-2,CAN,30,35
9,woman-2,GO1,35,45
9,woman-2,CAN,46,59
10,woman-1,JOHN,15,23
10,woman-1,CAN,27,30
10,woman-1,GO,36,41
10,woman-1,CAN,50,57
11,woman-2,JOHN,8,16
11,woman-2,CAN,18,24
11,woman-2,GO1,25,32
11,woman-2,CAN,33,48
13,woman-2,JOHN,7,13
13,woman-2,CAN,15,20
13,woman-2,GO1,20,29
13,woman-2,CAN,33,46
14,woman-2,JOHN,27,34
14,woman-2,CAN,38,42
14,woman-2,GO1,43,50
14,woman-2,CAN,52,62
15,woman-2,JOHN,7,20
15,woman-2,FUTURE,26,30
15,woman-2,GO2,33,38
15,woman-2,PARTY,40,48
15,woman-2,FUTURE,53,57
16,man-1,JOHN,9,35
16,man-1,FUTURE1,38,43
16,man-1,GO,45,49
16,man-1,IX,50,56
17,woman-2,JOHN,18,23
17,woman-2,FUTURE1,24,27
17,woman-2,GO,30,35
17,woman-2,IX,37,47
18,woman-1,JOHN,4,8
18,woman-1,IX,15,20
18,woman-1,HIT,21,29
18,woman-1,BLAME,35,47
18,woman-1,FRED,54,62
18,woman-1,IX,64,74
19,woman-2,JOHN,4,18
19,woman-2,FISH,21,31
19,woman-2,WONT,33,38
19,woman-2,EAT,41,51
19,woman-2,BUT,57,64
19,woman-2,CAN,63,67
19,woman-2,EAT,71,74
19,woman-2,CHICKEN,74,88
20,woman-2,JOHN,14,31
20,woman-2,FISH,38,50
20,woman-2,WONT,53,58
20,woman-2,EAT,64,74
20,woman-2,BUT,79,85
20,woman-2,CAN,85,90
20,woman-2,EAT,93,102
20,woman-2,CHICKEN,104,120
22,woman-2,VEGETABLE,11,23
22,woman-2,CHINA,34,46
22,woman-2,IX,49,54
22,woman-2,PEOPLE,61,64
22,woman-2,PREFER,66,69
22,woman-2,BROCCOLI,74,100
23,woman-2,VEGETABLE,21,29
23,woman-2,CHINA,31,41
23,woman-2,IX,47,55
23,woman-2,PEOPLE,60,63
23,woman-2,PREFER,65,70
23,woman-2,BROCCOLI,76,95
24,woman-2,JOHN,5,13
24,woman-2,LIKE,16,19
24,woman-2,IX,20,30
24,woman-2,IX,30,37
24,woman-2,IX,37,52
26,woman-2,JOHN,10,17
26,woman-2,LIKE,18,22
26,woman-2,IX,24,33
26,woman-2,IX,33,39
26,woman-2,IX,39,50
27,woman-2,JOHN,3,10
27,woman-2,LIKE,11,14
27,woman-2,IX,15,26
27,woman-2,IX,26,32
27,woman-2,IX,32,43
29,man-1,JOHN,12,21
29,man-1,LIKE,22,30
29,man-1,IX,31,40
29,man-1,IX,41,48
29,man-1,IX,49,53
31,man-1,JOHN,7,23
31,man-1,LEAVE,25,33
31,man-1,IX,33,40
32,woman-2,JOHN,6,15
32,woman-2,LEAVE,15,21
32,woman-2,IX,21,33
33,woman-2,JOHN,5,10
33,woman-2,LEAVE,12,20
33,woman-2,IX,20,30
34,woman-2,JOHN,5,13
34,woman-2,SAY,15,18
34,woman-2,MARY,20,31
34,woman-2,IX-1P,37,41
34,woman-2,BUY,44,50
34,woman-2,HOUSE,52,66
35,man-1,MARY,18,33
35,man-1,VEGETABLE,50,62
35,man-1,KNOW,69,74
35,man-1,IX,75,77
35,man-1,LIKE,79,84
35,man-1,CORN,89,104
37,woman-2,MARY,7,17
37,woman-2,VEGETABLE,24,40
37,woman-2,IX-1P,41,47
37,woman-2,KNOW,51,55
37,woman-2,IX,55,59
37,woman-2,LIKE,62,67
37,woman-2,CORN1,70,92
38,woman-2,MARY,6,22
38,woman-2,VEGETABLE,26,41
38,woman-2,KNOW,43,51
38,woman-2,IX,51,57
38,woman-2,LIKE,59,63
38,woman-2,CORN1,67,88
39,man-1,JOHN,9,23
39,man-1,IX,28,35
39,man-1,THINK,37,47
39,man-1,MARY,46,60
39,man-1,LOVE,63,77
41,woman-2,JOHN,7,13
41,woman-2,IX,14,21
41,woman-2,THINK,25,32
41,woman-2,MARY,34,41
41,woman-2,LOVE,43,64
42,woman-1,JOHN,6,15
42,woman-1,CAN,19,23
42,woman-1,BUY,23,29
42,woman-1,HOUSE,32,46
44,woman-2,JOHN,7,13
44,woman-2,FUTURE,14,22
44,woman-2,BUY,25,30
44,woman-2,HOUSE,33,45
45,woman-1,JOHN,13,18
45,woman-1,FUTURE,21,26
45,woman-1,NOT,27,33
45,woman-1,BUY,36,40
45,woman-1,HOUSE,42,56
46,woman-1,JOHN,10,14
